Ne,N,h2,beta2,replicate,empirical_ncp
100,10000,0.1,0.001,1,6.475113460150686
100,10000,0.1,0.001,2,5.817246176280565
100,10000,0.1,0.001,3,5.1784072554275085
100,10000,0.1,0.001,4,6.638640551703231
100,10000,0.1,0.001,5,4.140103503475322
100,10000,0.1,0.001,6,7.992049681332233
100,10000,0.1,0.001,7,11.329170397515108
100,10000,0.1,0.001,8,6.8847732423315575
100,10000,0.1,0.001,9,10.613514116218406
100,10000,0.1,0.001,10,9.593521853513227
100,10000,0.1,0.001,11,7.606981745393398
100,10000,0.1,0.001,12,8.776298841258676
100,10000,0.1,0.001,13,7.2423670893278445
100,10000,0.1,0.001,14,4.899833282472339
100,10000,0.1,0.001,15,8.234020584152798
100,10000,0.1,0.001,16,3.0222122676556555
100,10000,0.1,0.001,17,6.818899219074021
100,10000,0.1,0.001,18,9.053602648544153
100,10000,0.1,0.001,19,7.921348521668957
100,10000,0.1,0.001,20,5.476334253682549
100,10000,0.1,0.001,21,5.847691549979837
100,10000,0.1,0.001,22,10.421821678285644
100,10000,0.1,0.001,23,3.997632141253625
100,10000,0.1,0.001,24,10.37399946609737
100,10000,0.1,0.001,25,5.594867501581628
100,10000,0.1,0.001,26,5.424338110114485
100,10000,0.1,0.001,27,5.475577355879905
100,10000,0.1,0.001,28,8.762411596290516
100,10000,0.1,0.001,29,6.828804864325411
100,10000,0.1,0.001,30,5.260618344554341
100,10000,0.1,0.001,31,5.373753848286084
100,10000,0.1,0.001,32,9.298385957256098
100,10000,0.1,0.001,33,3.7296762241546393
100,10000,0.1,0.001,34,8.7138689693541
100,10000,0.1,0.001,35,4.496969858038708
100,10000,0.1,0.001,36,6.946948931220582
100,10000,0.1,0.001,37,9.495988084784651
100,10000,0.1,0.001,38,9.745859189737516
100,10000,0.1,0.001,39,7.677370083385142
100,10000,0.1,0.001,40,7.530869707232428
100,10000,0.1,0.001,41,5.261604778433717
100,10000,0.1,0.001,42,7.150151528128774
100,10000,0.1,0.001,43,12.212868802014986
100,10000,0.1,0.001,44,7.912675444278747
100,10000,0.1,0.001,45,8.091838753345517
100,10000,0.1,0.001,46,3.98553977162065
100,10000,0.1,0.001,47,9.541133030341589
100,10000,0.1,0.001,48,5.25241699151953
100,10000,0.1,0.001,49,5.407642866840663
100,10000,0.1,0.001,50,4.581718395784431
100,10000,0.1,0.001,51,5.702867684112244
100,10000,0.1,0.001,52,8.98063512369143
100,10000,0.1,0.001,53,3.5930481260553675
100,10000,0.1,0.001,54,2.866833321445813
100,10000,0.1,0.001,55,5.1586312768193645
100,10000,0.1,0.001,56,7.919292745552877
100,10000,0.1,0.001,57,8.741666661349788
100,10000,0.1,0.001,58,8.601389132716932
100,10000,0.1,0.001,59,5.42525025520858
100,10000,0.1,0.001,60,9.765192342957869
100,10000,0.1,0.001,61,8.89512898094977
100,10000,0.1,0.001,62,5.072998875679465
100,10000,0.1,0.001,63,3.573871704905498
100,10000,0.1,0.001,64,6.724547983460775
100,10000,0.1,0.001,65,4.038992412738528
100,10000,0.1,0.001,66,12.076578663223192
100,10000,0.1,0.001,67,4.5661038345847
100,10000,0.1,0.001,68,5.949310741999632
100,10000,0.1,0.001,69,5.074549553017351
100,10000,0.1,0.001,70,4.094134868490857
100,10000,0.1,0.001,71,5.429814183360364
100,10000,0.1,0.001,72,11.082682096079171
100,10000,0.1,0.001,73,7.490860406031027
100,10000,0.1,0.001,74,6.293114130493565
100,10000,0.1,0.001,75,4.418905421237129
100,10000,0.1,0.001,76,4.57611877590777
100,10000,0.1,0.001,77,5.771281747843661
100,10000,0.1,0.001,78,7.57677125788196
100,10000,0.1,0.001,79,5.397288350852369
100,10000,0.1,0.001,80,5.476175739096535
100,10000,0.1,0.001,81,5.027886586492477
100,10000,0.1,0.001,82,4.8833199844893205
100,10000,0.1,0.001,83,5.396819630338301
100,10000,0.1,0.001,84,3.1784251494009066
100,10000,0.1,0.001,85,6.279949303743311
100,10000,0.1,0.001,86,4.6820682129465165
100,10000,0.1,0.001,87,4.2401545153360445
100,10000,0.1,0.001,88,4.069495375843706
100,10000,0.1,0.001,89,7.953853679842604
100,10000,0.1,0.001,90,3.6608473117008176
100,10000,0.1,0.001,91,4.578659617158176
100,10000,0.1,0.001,92,8.343078009001676
100,10000,0.1,0.001,93,3.7496116478198838
100,10000,0.1,0.001,94,9.947935678979189
