Parameter,Cattle,Pig,Chicken,Human
Ne,100,50,50,"10,000"
L (Morgans),25,20,30,35
Me,"10,000","4,000","6,000","1,400,000"
q_min (%) at h2=0.1,0.030,0.075,0.050,0.0002
q_min (%) at h2=0.3,0.090,0.225,0.150,0.0006
q_min (%) at h2=0.5,0.150,0.375,0.250,0.0011
N_A* at h2=0.1,"90,000","36,000","54,000","12,600,000"
N_A* at h2=0.3,"23,333","9,333","14,000","3,266,667"
N_A* at h2=0.5,"10,000","4,000","6,000","1,400,000"
"Min PVE (%), simple regression at d=10 kb",0.156,0.306,0.306,0.0075
"Min PVE (%), simple regression at d=100 kb",0.021,0.036,0.036,0.0062
"Min PVE (%), full-GRM ceiling at d=10 kb (h2=0.1)",0.156,0.765,0.510,5.36e-05
"Min PVE (%), full-GRM ceiling at d=100 kb (h2=0.1)",0.021,0.090,0.060,4.39e-05
"Min PVE (%), full-GRM ceiling at d=10 kb (h2=0.3)",0.468,2.295,1.530,0.0002
"Min PVE (%), full-GRM ceiling at d=100 kb (h2=0.3)",0.063,0.270,0.180,0.0001
"Min PVE (%), full-GRM ceiling at d=10 kb (h2=0.5)",0.780,3.825,2.550,0.0003
"Min PVE (%), full-GRM ceiling at d=100 kb (h2=0.5)",0.105,0.450,0.300,0.0002
