dataset	model	n_samples	n_snps	n_chromosomes	h2	mean	sd	cv	min	max
chinese_holstein	full	2510	42775		0.1	0.7729068263705262	0.0678784808574722	0.08782233322510691	0.2374600588771127	1.140382744066585
chinese_holstein	full	2510	42775		0.3	0.7068995479002572	0.09030396163751543	0.12774652622957572	0.17853140315746568	1.1946780683556055
chinese_holstein	full	2510	42775		0.5	0.7063575130565443	0.1108945593887955	0.1569949456740872	0.17766581879342763	1.3023667387184068
chinese_holstein	full	2510	42775		0.7	0.7487869302575303	0.13815214589119812	0.18450127841265	0.19608648302954518	1.4880276400606587
chinese_holstein	full	2510	42775		0.9	0.8635402149118734	0.18578725494574572	0.2151460369042637	0.2444211312695244	1.8910463031381517
chinese_holstein	loco	2510	42775	29	0.1	0.8330975795789222	0.06273000771798658	0.07529731121016173	0.24290003281050446	1.1544096837700182
chinese_holstein	loco	2510	42775	29	0.3	0.8554087113355692	0.07608807298696289	0.08894937820795026	0.18802253626701784	1.2423520243651858
chinese_holstein	loco	2510	42775	29	0.5	0.9523447887497625	0.08872580040627567	0.09316562809437413	0.1929608554560032	1.398545144777618
chinese_holstein	loco	2510	42775	29	0.7	1.1375890642567903	0.10868361264040237	0.09553855258920545	0.22179058077891484	1.6675506399204802
chinese_holstein	loco	2510	42775	29	0.9	1.542826880195668	0.150697112605473	0.09767597035019311	0.2959673642433165	2.2569423016338863
karacabey_merino	full	734	35774		0.1	0.8633992127924459	0.04881911368711784	0.05654292123944008	0.6341285291217801	1.1306293164790697
karacabey_merino	full	734	35774		0.3	0.8089233044169648	0.06206300978383133	0.0767229840517001	0.4425238146940767	1.1192179320628524
karacabey_merino	full	734	35774		0.5	0.8122335539036123	0.07375556908789382	0.09080586333010122	0.35377436538139395	1.167999378699322
karacabey_merino	full	734	35774		0.7	0.8493815230602557	0.08822495146908141	0.10386963817062296	0.30531677888706593	1.2915496035417315
karacabey_merino	full	734	35774		0.9	0.9296992676286221	0.1101694583429061	0.118500102322243	0.27873881589883737	1.519915424359478
karacabey_merino	loco	734	35774	26	0.1	0.8872801494861353	0.0478142981238414	0.053888614719412864	0.6542364243795903	1.1543950882378053
karacabey_merino	loco	734	35774	26	0.3	0.8712572622973318	0.05845405095654167	0.0670916082838839	0.5575848565843359	1.172149718338842
karacabey_merino	loco	734	35774	26	0.5	0.9172940562545825	0.06796567359034719	0.07409365963610283	0.5297476816303424	1.2625041672946797
karacabey_merino	loco	734	35774	26	0.7	1.0119475361155363	0.08027860630721406	0.07933079872438019	0.5131494537044123	1.418863241544619
karacabey_merino	loco	734	35774	26	0.9	1.185381815056614	0.10045734897493298	0.08474682815185175	0.5298911791715761	1.6926633449484152
