dataset	n_samples_post_qc	n_snps_post_qc	autosomes_only	h2	mean_coefficient	sd_coefficient	cv	min_coefficient	max_coefficient	note
german_holstein	5024	42216	no	0.1	0.7388159877024263	0.05830262635461672	0.07891359597662001	0.49642620425369416	1.0026490202538547	full-GRM only because original map unusable for chromosome-based LOCO
german_holstein	5024	42216	no	0.3	0.6296631958631784	0.08691175293925896	0.1380289550195408	0.31212042789824257	1.0344558339898322	full-GRM only because original map unusable for chromosome-based LOCO
german_holstein	5024	42216	no	0.5	0.6089282123226123	0.10832308317923361	0.17789138520296324	0.25452120734693273	1.1344354362366988	full-GRM only because original map unusable for chromosome-based LOCO
german_holstein	5024	42216	no	0.7	0.6402482491959539	0.1363411980465172	0.21295052070464734	0.23460081152813567	1.3535685283859116	full-GRM only because original map unusable for chromosome-based LOCO
german_holstein	5024	42216	no	0.9	0.7680290679747761	0.19294827151766306	0.2512252199339933	0.24671188472939448	1.9658548214149527	full-GRM only because original map unusable for chromosome-based LOCO
chinese_holstein	2510	42775	yes	0.1	0.7729068263705262	0.0678784808574722	0.08782233322510691	0.2374600588771127	1.140382744066585	global HWE retained, non-autosomal SNPs removed before coefficient calculation
chinese_holstein	2510	42775	yes	0.3	0.7068995479002572	0.09030396163751543	0.12774652622957572	0.17853140315746568	1.1946780683556055	global HWE retained, non-autosomal SNPs removed before coefficient calculation
chinese_holstein	2510	42775	yes	0.5	0.7063575130565443	0.1108945593887955	0.1569949456740872	0.17766581879342763	1.3023667387184068	global HWE retained, non-autosomal SNPs removed before coefficient calculation
chinese_holstein	2510	42775	yes	0.7	0.7487869302575303	0.13815214589119812	0.18450127841265	0.19608648302954518	1.4880276400606587	global HWE retained, non-autosomal SNPs removed before coefficient calculation
chinese_holstein	2510	42775	yes	0.9	0.8635402149118734	0.18578725494574572	0.2151460369042637	0.2444211312695244	1.8910463031381517	global HWE retained, non-autosomal SNPs removed before coefficient calculation
karacabey_merino	734	35774	yes	0.1	0.8633992127924459	0.04881911368711784	0.05654292123944008	0.6341285291217801	1.1306293164790697	autosomes only, chr 0 removed
karacabey_merino	734	35774	yes	0.3	0.8089233044169648	0.06206300978383133	0.0767229840517001	0.4425238146940767	1.1192179320628524	autosomes only, chr 0 removed
karacabey_merino	734	35774	yes	0.5	0.8122335539036123	0.07375556908789382	0.09080586333010122	0.35377436538139395	1.167999378699322	autosomes only, chr 0 removed
karacabey_merino	734	35774	yes	0.7	0.8493815230602557	0.08822495146908141	0.10386963817062296	0.30531677888706593	1.2915496035417315	autosomes only, chr 0 removed
karacabey_merino	734	35774	yes	0.9	0.9296992676286221	0.1101694583429061	0.118500102322243	0.27873881589883737	1.519915424359478	autosomes only, chr 0 removed
