Ne,h2,N,rep,R2_random,R2_full
Ne20,0.1,5000,1,0.5307126761142582,0.5923128564300367
Ne20,0.1,5000,3,0.5702112801219088,0.5826384994768568
Ne20,0.1,5000,6,0.6751877432255264,0.7129515818669426
Ne20,0.1,5000,5,0.6007306770941463,0.6445314512409155
Ne20,0.1,5000,4,0.6148874127695083,0.6532530926120106
Ne20,0.1,5000,7,0.6591264017571903,0.7030050005253903
Ne20,0.1,5000,10,0.6255041076366036,0.667162852564152
Ne20,0.1,5000,18,0.5938085809715997,0.6622701222609647
Ne20,0.1,5000,9,0.6466462278706653,0.6957826918596951
Ne20,0.1,5000,24,0.6015624231757494,0.6527445443958674
Ne20,0.1,5000,14,0.635295292612425,0.685160416876941
Ne20,0.1,5000,12,0.6624233618672003,0.6885316573938323
Ne20,0.1,5000,2,0.7095820418312379,0.741199543762801
Ne20,0.1,5000,8,0.6057724246972889,0.6664230266404846
Ne20,0.1,5000,19,0.6597501513725408,0.7053587470007366
Ne20,0.1,5000,11,0.6000055670874329,0.6372556000275816
Ne20,0.1,5000,20,0.609921609832767,0.6783159710201878
Ne20,0.1,5000,22,0.692558822748662,0.7193455277407007
Ne20,0.1,5000,41,0.6998894329815147,0.7529559009403581
Ne20,0.1,5000,15,0.5706167238791122,0.6217994526199669
Ne20,0.1,5000,27,0.5972210076905208,0.6524711479159748
Ne20,0.1,5000,34,0.6261527351234812,0.6774703072265371
Ne20,0.1,5000,16,0.6436560141742227,0.7107081774412765
Ne20,0.1,5000,30,0.7012757656567833,0.7277428692773804
Ne20,0.1,5000,23,0.6473532835699864,0.6989404233651195
Ne20,0.1,5000,42,0.5613379092794072,0.6182779439880943
Ne20,0.1,5000,48,0.5763983371267305,0.6338237727001149
Ne20,0.1,5000,37,0.6344952415546777,0.6764250324237174
Ne20,0.1,5000,31,0.5438593690218869,0.6283219691833206
Ne20,0.1,5000,17,0.5360178603954406,0.5839538716052924
Ne20,0.1,5000,33,0.5978990680775831,0.6404226562015487
Ne20,0.1,5000,28,0.613403645138973,0.6709730666847318
Ne20,0.1,5000,40,0.6489568173152817,0.6859182018553517
Ne20,0.1,5000,35,0.6471695395455022,0.7001537457173823
Ne20,0.1,5000,21,0.5339459507143289,0.5836036126285971
Ne20,0.1,5000,45,0.6516008636560283,0.7028194651808608
Ne20,0.1,5000,36,0.5693601522435852,0.5924848062706374
Ne20,0.1,5000,39,0.5823461890530385,0.60000258269309
Ne20,0.1,5000,25,0.6364414391210204,0.6872843099673202
Ne20,0.1,5000,26,0.6524106767010099,0.6876132898125366
Ne20,0.1,5000,29,0.6613894865165164,0.679523166579024
Ne20,0.1,5000,53,0.6667425666069959,0.705944331796607
Ne20,0.1,5000,38,0.5641422476009924,0.621655344671032
Ne20,0.1,5000,43,0.6499777799143295,0.6912198245113631
Ne20,0.1,5000,32,0.6681907235435388,0.6940152647419618
Ne20,0.1,5000,54,0.6743921372698742,0.7015403135855539
Ne20,0.1,5000,51,0.5672522381931806,0.6276770339528621
Ne20,0.1,5000,46,0.581313977024021,0.6406936800613152
Ne20,0.1,5000,44,0.6387148116922782,0.6619367117512366
Ne20,0.1,5000,50,0.7230999218595373,0.7536053921055135
Ne20,0.1,5000,56,0.6470312232467981,0.6808104198319559
Ne20,0.1,5000,47,0.5645900282321576,0.6052358174439609
Ne20,0.1,5000,52,0.6222528761439181,0.6543694827211373
Ne20,0.1,5000,13,0.6029592255950641,0.6491911798179064
Ne20,0.1,5000,55,0.6491063708122317,0.6900692201820791
Ne20,0.1,5000,49,0.6664704117040139,0.6888939818722146
Ne20,0.1,5000,57,0.5967484949992367,0.6525665681310562
Ne20,0.1,5000,60,0.662474349561788,0.7217419432201247
Ne20,0.1,5000,62,0.5385700706774006,0.5918039877830857
Ne20,0.1,5000,58,0.5323381088547688,0.5863178618624008
Ne20,0.1,5000,63,0.6824158329911134,0.7130575290556146
Ne20,0.1,5000,61,0.6679996574624208,0.7050937780579782
Ne20,0.1,5000,59,0.5840540016419606,0.646911051937788
Ne20,0.1,5000,66,0.5717886360012034,0.6435334472756733
Ne20,0.1,5000,69,0.5631280588012315,0.6260012804870083
Ne20,0.1,5000,71,0.6332608134750739,0.6763673640825488
Ne20,0.1,5000,65,0.659010544059187,0.6892541906391921
Ne20,0.1,5000,67,0.6520069303957791,0.6967480790026062
Ne20,0.1,5000,72,0.6367286403331732,0.6883894038037575
Ne20,0.1,5000,70,0.6225169676804737,0.6500038826882886
Ne20,0.1,5000,78,0.663950329466671,0.7104148937092101
Ne20,0.1,5000,68,0.6858338286783805,0.7076977387676495
Ne20,0.1,5000,74,0.6408336891555868,0.6905575799093405
Ne20,0.1,5000,64,0.6605249591921295,0.7060895506077537
Ne20,0.1,5000,77,0.7027942003370908,0.7391323770864187
Ne20,0.1,5000,75,0.6489266701552592,0.6804118896105764
Ne20,0.1,5000,82,0.6786840926639138,0.7034733442275893
Ne20,0.1,5000,80,0.5557236410851594,0.6242819566311735
Ne20,0.1,5000,73,0.6794833955727272,0.7080609036639052
Ne20,0.1,5000,81,0.5494056677880551,0.6247635179726096
Ne20,0.1,5000,84,0.6104875897780674,0.6426815977165384
Ne20,0.1,5000,76,0.5856402051629638,0.5985425996444457
Ne20,0.1,5000,92,0.6172249497389777,0.6709178607526126
Ne20,0.1,5000,86,0.6314514908779177,0.6804938367924374
Ne20,0.1,5000,83,0.6793739234000964,0.739479805005678
Ne20,0.1,5000,79,0.6513109992603651,0.6948534685212453
Ne20,0.1,5000,85,0.652747896110892,0.7054856609004287
